driver,team,compound,tyre_life,lap_number,stint,position,air_temp,track_temp,humidity,wind_speed,lap_time_s,venue
VER,Red Bull Racing,SOFT,5,2,1,1,18.3,23.8,49.0,1.5,96.296,Bahrain
LEC,Ferrari,SOFT,5,2,1,2,18.3,23.8,49.0,1.5,96.862,Bahrain
RUS,Mercedes,SOFT,5,2,1,3,18.3,23.8,49.0,1.5,96.635,Bahrain
PER,Red Bull Racing,SOFT,5,2,1,4,18.3,23.8,49.0,1.5,96.541,Bahrain
SAI,Ferrari,SOFT,5,2,1,5,18.3,23.8,49.0,1.5,97.236,Bahrain
ALO,Aston Martin,SOFT,5,2,1,6,18.3,23.8,49.0,1.5,98.02,Bahrain
NOR,McLaren,SOFT,5,2,1,7,18.3,23.8,49.0,1.5,98.01,Bahrain
PIA,McLaren,SOFT,5,2,1,8,18.3,23.8,49.0,1.5,98.382,Bahrain
HAM,Mercedes,SOFT,5,2,1,9,18.3,23.8,49.0,1.5,98.273,Bahrain
TSU,RB,SOFT,2,2,1,10,18.3,23.8,49.0,1.5,98.689,Bahrain
ALB,Williams,SOFT,2,2,1,11,18.3,23.8,49.0,1.5,98.826,Bahrain
MAG,Haas F1 Team,SOFT,2,2,1,12,18.3,23.8,49.0,1.5,98.911,Bahrain
ZHO,Kick Sauber,SOFT,2,2,1,13,18.3,23.8,49.0,1.5,98.92,Bahrain
SAR,Williams,SOFT,2,2,1,14,18.3,23.8,49.0,1.5,98.481,Bahrain
RIC,RB,SOFT,5,2,1,15,18.3,23.8,49.0,1.5,99.509,Bahrain
OCO,Alpine,SOFT,2,2,1,16,18.3,23.8,49.0,1.5,99.094,Bahrain
GAS,Alpine,SOFT,2,2,1,17,18.3,23.8,49.0,1.5,99.059,Bahrain
BOT,Kick Sauber,SOFT,2,2,1,18,18.3,23.8,49.0,1.5,98.259,Bahrain
STR,Aston Martin,SOFT,2,2,1,19,18.3,23.8,49.0,1.5,97.987,Bahrain
VER,Red Bull Racing,SOFT,6,3,1,1,18.3,23.7,49.0,0.9,96.753,Bahrain
RUS,Mercedes,SOFT,6,3,1,2,18.3,23.7,49.0,0.9,96.406,Bahrain
LEC,Ferrari,SOFT,6,3,1,3,18.3,23.7,49.0,0.9,98.062,Bahrain
PER,Red Bull Racing,SOFT,6,3,1,4,18.3,23.7,49.0,0.9,97.297,Bahrain
SAI,Ferrari,SOFT,6,3,1,5,18.3,23.7,49.0,0.9,97.08,Bahrain
NOR,McLaren,SOFT,6,3,1,6,18.3,23.7,49.0,0.9,97.787,Bahrain
ALO,Aston Martin,SOFT,6,3,1,7,18.3,23.7,49.0,0.9,99.046,Bahrain
PIA,McLaren,SOFT,6,3,1,8,18.3,23.7,49.0,0.9,98.258,Bahrain
HAM,Mercedes,SOFT,6,3,1,9,18.3,23.7,49.0,0.9,98.303,Bahrain
TSU,RB,SOFT,3,3,1,10,18.3,23.7,49.0,0.9,98.431,Bahrain
ALB,Williams,SOFT,3,3,1,11,18.3,23.7,49.0,0.9,98.507,Bahrain
MAG,Haas F1 Team,SOFT,3,3,1,12,18.3,23.7,49.0,0.9,98.399,Bahrain
ZHO,Kick Sauber,SOFT,3,3,1,13,18.3,23.7,49.0,0.9,98.582,Bahrain
SAR,Williams,SOFT,3,3,1,14,18.3,23.7,49.0,0.9,98.707,Bahrain
RIC,RB,SOFT,6,3,1,15,18.3,23.7,49.0,0.9,98.76,Bahrain
OCO,Alpine,SOFT,3,3,1,16,18.3,23.7,49.0,0.9,98.771,Bahrain
GAS,Alpine,SOFT,3,3,1,17,18.3,23.7,49.0,0.9,98.744,Bahrain
BOT,Kick Sauber,SOFT,3,3,1,18,18.3,23.7,49.0,0.9,98.837,Bahrain
STR,Aston Martin,SOFT,3,3,1,19,18.3,23.7,49.0,0.9,98.279,Bahrain
HUL,Haas F1 Team,HARD,2,3,2,20,18.3,23.7,49.0,0.9,97.317,Bahrain
VER,Red Bull Racing,SOFT,7,4,1,1,18.3,23.6,49.0,0.7,96.647,Bahrain
RUS,Mercedes,SOFT,7,4,1,2,18.3,23.6,49.0,0.7,97.738,Bahrain
LEC,Ferrari,SOFT,7,4,1,3,18.3,23.6,49.0,0.7,97.752,Bahrain
PER,Red Bull Racing,SOFT,7,4,1,4,18.3,23.6,49.0,0.7,97.722,Bahrain
SAI,Ferrari,SOFT,7,4,1,5,18.3,23.6,49.0,0.7,97.264,Bahrain
NOR,McLaren,SOFT,7,4,1,6,18.3,23.6,49.0,0.7,97.45,Bahrain
ALO,Aston Martin,SOFT,7,4,1,7,18.3,23.6,49.0,0.7,97.776,Bahrain
PIA,McLaren,SOFT,7,4,1,8,18.3,23.6,49.0,0.7,97.897,Bahrain
HAM,Mercedes,SOFT,7,4,1,9,18.3,23.6,49.0,0.7,98.287,Bahrain
TSU,RB,SOFT,4,4,1,10,18.3,23.6,49.0,0.7,98.31,Bahrain
ALB,Williams,SOFT,4,4,1,11,18.3,23.6,49.0,0.7,98.422,Bahrain
MAG,Haas F1 Team,SOFT,4,4,1,12,18.3,23.6,49.0,0.7,98.497,Bahrain
ZHO,Kick Sauber,SOFT,4,4,1,13,18.3,23.6,49.0,0.7,98.428,Bahrain
SAR,Williams,SOFT,4,4,1,14,18.3,23.6,49.0,0.7,98.39,Bahrain
RIC,RB,SOFT,7,4,1,15,18.3,23.6,49.0,0.7,98.61,Bahrain
OCO,Alpine,SOFT,4,4,1,16,18.3,23.6,49.0,0.7,98.625,Bahrain
GAS,Alpine,SOFT,4,4,1,17,18.3,23.6,49.0,0.7,98.503,Bahrain
BOT,Kick Sauber,SOFT,4,4,1,18,18.3,23.5,50.0,1.5,98.643,Bahrain
STR,Aston Martin,SOFT,4,4,1,19,18.3,23.5,50.0,1.5,98.364,Bahrain
HUL,Haas F1 Team,HARD,3,4,2,20,18.3,23.5,50.0,1.5,97.349,Bahrain
VER,Red Bull Racing,SOFT,8,5,1,1,18.3,23.5,50.0,1.1,97.173,Bahrain
RUS,Mercedes,SOFT,8,5,1,2,18.3,23.5,50.0,1.1,98.116,Bahrain
LEC,Ferrari,SOFT,8,5,1,3,18.3,23.5,50.0,1.1,98.131,Bahrain
PER,Red Bull Racing,SOFT,8,5,1,4,18.3,23.5,50.0,1.1,98.044,Bahrain
SAI,Ferrari,SOFT,8,5,1,5,18.3,23.5,50.0,1.1,98.032,Bahrain
NOR,McLaren,SOFT,8,5,1,6,18.3,23.5,50.0,1.1,97.794,Bahrain
PIA,McLaren,SOFT,8,5,1,7,18.3,23.5,50.0,1.1,97.859,Bahrain
ALO,Aston Martin,SOFT,8,5,1,8,18.3,23.5,50.0,1.1,99.292,Bahrain
HAM,Mercedes,SOFT,8,5,1,9,18.3,23.5,50.0,1.1,98.35,Bahrain
TSU,RB,SOFT,5,5,1,10,18.3,23.5,50.0,1.1,98.321,Bahrain
ALB,Williams,SOFT,5,5,1,11,18.3,23.5,50.0,1.1,98.509,Bahrain
MAG,Haas F1 Team,SOFT,5,5,1,12,18.3,23.5,50.0,1.1,98.576,Bahrain
ZHO,Kick Sauber,SOFT,5,5,1,13,18.3,23.5,50.0,1.1,98.798,Bahrain
SAR,Williams,SOFT,5,5,1,14,18.3,23.5,50.0,1.1,98.757,Bahrain
RIC,RB,SOFT,8,5,1,15,18.3,23.5,50.0,1.1,98.704,Bahrain
OCO,Alpine,SOFT,5,5,1,16,18.3,23.5,50.0,1.1,98.64,Bahrain
GAS,Alpine,SOFT,5,5,1,17,18.3,23.5,50.0,1.1,98.664,Bahrain
STR,Aston Martin,SOFT,5,5,1,18,18.3,23.5,50.0,1.1,98.725,Bahrain
BOT,Kick Sauber,SOFT,5,5,1,19,18.3,23.5,50.0,1.1,100.087,Bahrain
HUL,Haas F1 Team,HARD,4,5,2,20,18.3,23.5,49.0,0.6,97.663,Bahrain
VER,Red Bull Racing,SOFT,9,6,1,1,18.3,23.5,49.0,0.6,97.092,Bahrain
RUS,Mercedes,SOFT,9,6,1,2,18.3,23.5,50.0,0.5,97.784,Bahrain
LEC,Ferrari,SOFT,9,6,1,3,18.3,23.5,50.0,0.5,97.782,Bahrain
PER,Red Bull Racing,SOFT,9,6,1,4,18.3,23.5,50.0,0.5,97.823,Bahrain
SAI,Ferrari,SOFT,9,6,1,5,18.3,23.5,50.0,0.5,97.741,Bahrain
NOR,McLaren,SOFT,9,6,1,6,18.3,23.5,50.0,0.5,97.896,Bahrain
PIA,McLaren,SOFT,9,6,1,7,18.3,23.5,50.0,0.5,97.955,Bahrain
ALO,Aston Martin,SOFT,9,6,1,8,18.3,23.5,50.0,0.5,98.053,Bahrain
HAM,Mercedes,SOFT,9,6,1,9,18.3,23.5,50.0,0.5,98.183,Bahrain
TSU,RB,SOFT,6,6,1,10,18.3,23.5,50.0,0.5,98.361,Bahrain
ALB,Williams,SOFT,6,6,1,11,18.3,23.5,50.0,0.5,98.575,Bahrain
MAG,Haas F1 Team,SOFT,6,6,1,12,18.3,23.5,50.0,0.5,98.529,Bahrain
ZHO,Kick Sauber,SOFT,6,6,1,13,18.3,23.5,50.0,0.5,98.488,Bahrain
SAR,Williams,SOFT,6,6,1,14,18.3,23.5,50.0,0.5,98.582,Bahrain
RIC,RB,SOFT,9,6,1,15,18.3,23.5,50.0,0.5,98.689,Bahrain
OCO,Alpine,SOFT,6,6,1,16,18.3,23.5,50.0,0.5,98.874,Bahrain
GAS,Alpine,SOFT,6,6,1,17,18.3,23.5,50.0,0.5,99.099,Bahrain
STR,Aston Martin,SOFT,6,6,1,18,18.3,23.5,50.0,0.5,98.925,Bahrain
BOT,Kick Sauber,SOFT,6,6,1,19,18.3,23.5,50.0,0.5,99.206,Bahrain
HUL,Haas F1 Team,HARD,5,6,2,20,18.3,23.5,50.0,0.5,97.896,Bahrain
VER,Red Bull Racing,SOFT,10,7,1,1,18.3,23.7,50.0,0.5,97.038,Bahrain
RUS,Mercedes,SOFT,10,7,1,2,18.3,23.7,50.0,0.5,98.082,Bahrain
PER,Red Bull Racing,SOFT,10,7,1,3,18.3,23.7,50.0,0.5,97.821,Bahrain
LEC,Ferrari,SOFT,10,7,1,4,18.3,23.7,50.0,0.5,98.957,Bahrain
SAI,Ferrari,SOFT,10,7,1,5,18.3,23.7,50.0,0.5,98.26,Bahrain
NOR,McLaren,SOFT,10,7,1,6,18.3,23.7,50.0,0.5,97.86,Bahrain
PIA,McLaren,SOFT,10,7,1,7,18.3,23.7,50.0,0.5,97.984,Bahrain
